user_role,hour_of_day,day_of_week,geo_dist_km,device_posture,resource_type,req_velocity,session_dur_s,baseline_dev,label
auditor,15,2,517.9,compliant,config,2.45,211.9,0.41,1
engineer,16,3,25.5,compliant,HMI,2.25,101.2,0.04,0
engineer,10,4,15.0,compliant,HMI,1.09,22.0,0.31,0
operator,16,4,1.7,compliant,historian,2.0,137.1,0.0,0
auditor,15,2,191.9,compliant,HMI,1.92,112.8,0.69,1
operator,14,6,33.7,compliant,historian,1.43,288.3,0.01,0
operator,7,4,10.4,compliant,historian,4.58,103.8,0.09,0
engineer,0,3,75.4,compliant,historian,3.95,295.8,0.04,0
engineer,12,1,41.3,compliant,config,4.78,134.3,0.35,0
operator,17,3,7.3,compliant,PLC,2.2,173.5,0.3,0
engineer,11,2,162.7,compliant,historian,2.62,425.5,0.36,0
engineer,5,2,14.6,compliant,bulk_export,7.7,728.3,0.8,1
engineer,14,4,28.9,compliant,PLC,5.07,124.9,0.29,0
auditor,11,3,54.1,compliant,config,2.98,244.8,0.33,0
operator,12,0,22.6,compliant,historian,2.52,201.4,0.14,0
auditor,17,2,25.2,unknown,bulk_export,1.35,296.8,0.34,0
engineer,16,0,353.7,compliant,config,3.89,213.5,0.38,1
auditor,15,4,9.1,compliant,HMI,1.57,61.5,0.14,0
engineer,9,3,54.2,unknown,bulk_export,6.92,1148.1,0.83,1
engineer,17,2,90.0,compliant,config,1.64,180.1,0.16,0
operator,6,3,39.8,compliant,historian,1.21,290.1,0.38,0
operator,13,4,19.3,compliant,PLC,4.79,67.7,0.15,0
operator,16,1,13.4,compliant,historian,5.91,237.1,0.04,0
engineer,11,0,0.0,compliant,historian,1.61,337.3,0.03,0
operator,5,1,22.0,compliant,bulk_export,8.07,196.7,0.84,1
operator,10,0,35.8,compliant,PLC,4.26,121.3,0.17,1
engineer,10,2,107.8,compliant,bulk_export,5.44,450.4,0.41,0
operator,3,0,29.2,compliant,HMI,1.16,69.0,0.14,0
auditor,18,6,47.2,compliant,PLC,5.15,79.5,0.8,1
engineer,17,5,149.4,compliant,historian,1.96,157.7,0.17,0
engineer,16,0,153.5,compliant,historian,6.39,161.4,0.06,0
auditor,0,2,46.5,compliant,historian,3.16,283.6,0.28,0
operator,9,1,29.7,compliant,HMI,4.98,71.9,0.14,0
operator,6,1,26.8,compliant,historian,5.46,71.8,0.32,0
engineer,13,0,437.4,compliant,config,2.62,274.6,0.37,1
operator,8,1,91.2,compliant,bulk_export,13.42,940.2,0.66,1
engineer,6,6,16.0,compliant,PLC,8.5,128.6,0.82,1
auditor,15,3,51.8,unknown,PLC,3.93,89.0,0.16,0
engineer,5,6,24.7,unknown,HMI,6.58,73.8,0.42,1
operator,11,4,15.0,unknown,historian,5.25,138.8,0.13,0
engineer,15,6,2.3,compliant,HMI,2.49,86.0,0.42,1
engineer,14,0,103.4,compliant,PLC,1.1,66.9,0.3,0
operator,22,0,13.4,compliant,HMI,5.61,87.6,0.16,1
engineer,15,0,111.7,compliant,HMI,4.59,28.9,0.42,0
engineer,17,5,6.1,compliant,historian,5.24,165.1,0.18,0
auditor,17,2,35.0,compliant,bulk_export,1.26,594.4,0.12,0
engineer,11,3,4.8,compliant,bulk_export,17.01,612.7,0.75,1
engineer,9,5,9.9,unknown,PLC,0.64,119.5,0.02,0
engineer,16,6,78.3,unknown,PLC,3.21,63.0,0.31,0
auditor,15,4,502.8,compliant,config,4.37,131.5,0.5,1
engineer,22,0,89.4,compliant,historian,1.26,107.4,0.3,1
operator,14,4,15.3,compliant,config,4.59,233.2,0.44,0
auditor,13,5,42.4,compliant,bulk_export,0.76,493.3,0.26,0
engineer,10,6,91.6,compliant,HMI,1.64,55.1,0.28,0
operator,0,1,17.3,unknown,historian,3.15,354.5,0.19,0
engineer,9,2,135.9,compliant,PLC,2.41,148.8,0.39,0
operator,12,2,25.7,compliant,HMI,0.74,97.1,0.15,0
auditor,13,0,17.7,unknown,HMI,1.34,74.7,0.33,0
auditor,20,5,43.2,compliant,bulk_export,3.69,536.8,0.82,1
operator,13,0,21.3,compliant,PLC,3.39,87.8,0.32,0
operator,13,0,26.9,compliant,historian,2.45,67.4,0.32,0
auditor,14,1,54.6,unknown,historian,5.75,52.4,0.08,0
engineer,7,1,92.7,compliant,bulk_export,3.46,664.0,0.04,1
engineer,9,1,116.4,compliant,PLC,1.41,154.2,0.16,0
auditor,10,0,2.5,compliant,historian,6.05,165.2,0.29,0
engineer,10,1,127.8,compliant,PLC,4.11,88.2,0.29,0
engineer,17,2,53.2,compliant,PLC,6.34,83.6,0.22,0
engineer,18,5,62.6,compliant,bulk_export,1.04,541.6,0.31,0
engineer,12,1,119.2,compliant,historian,5.27,364.1,0.27,0
engineer,13,4,86.6,unknown,PLC,3.2,159.7,0.24,0
auditor,12,0,56.8,compliant,bulk_export,2.81,268.8,0.14,0
auditor,11,4,57.5,compliant,HMI,4.43,67.0,0.22,1
auditor,14,4,18.3,compliant,HMI,3.73,100.7,0.28,0
auditor,17,1,17.1,compliant,PLC,1.61,116.1,0.2,0
operator,10,1,21.8,unknown,config,5.6,103.7,0.27,0
auditor,12,0,49.8,compliant,config,6.46,134.3,0.11,0
operator,18,2,13.2,unknown,HMI,4.55,109.9,0.45,0
operator,12,4,29.4,compliant,HMI,3.81,112.9,0.16,0
operator,10,0,5.3,compliant,config,0.61,252.8,0.21,0
operator,14,1,0.7,compliant,bulk_export,9.11,1099.9,0.76,1
auditor,16,6,52.2,compliant,bulk_export,3.77,618.5,0.18,0
auditor,17,2,16.2,compliant,bulk_export,0.91,500.4,0.06,0
auditor,17,4,6.0,compliant,bulk_export,5.11,254.6,0.35,0
auditor,16,3,55.2,unknown,PLC,5.52,95.1,0.28,0
operator,19,4,19.8,compliant,historian,3.38,92.4,0.25,0
engineer,11,2,54.8,compliant,historian,4.37,195.9,0.21,0
operator,7,1,35.9,compliant,HMI,0.69,75.2,0.02,0
operator,12,2,28.5,compliant,HMI,5.2,25.3,0.32,1
auditor,11,0,22.6,unknown,historian,2.19,78.2,0.28,0
engineer,14,2,121.8,compliant,historian,3.8,63.3,0.44,0
operator,15,1,32.3,unknown,historian,4.15,422.7,0.23,0
auditor,10,3,31.2,compliant,bulk_export,3.65,362.4,0.05,0
auditor,11,4,86.6,unknown,bulk_export,9.6,1455.2,0.69,1
operator,10,4,37.6,compliant,HMI,0.57,18.3,0.16,0
operator,17,3,33.5,compliant,bulk_export,1.97,568.7,0.28,0
operator,8,2,31.9,compliant,historian,1.0,167.9,0.03,0
auditor,19,4,37.8,compliant,config,7.29,74.8,0.47,1
operator,16,4,0.5,compliant,config,2.76,277.8,0.08,0
auditor,11,2,11.5,compliant,bulk_export,6.03,284.6,0.19,0
operator,16,2,39.7,compliant,HMI,3.45,48.6,0.26,0
auditor,13,5,20.0,compliant,historian,3.79,333.0,0.32,0
auditor,14,1,27.2,unknown,historian,4.51,223.5,0.12,0
auditor,17,3,54.5,compliant,config,2.36,250.4,0.03,0
auditor,11,1,42.6,compliant,bulk_export,2.66,279.2,0.4,0
operator,17,3,314.7,unknown,PLC,6.4,47.9,0.85,1
auditor,23,0,50.8,compliant,bulk_export,4.24,462.5,0.39,0
engineer,21,1,113.4,compliant,HMI,3.77,96.3,0.22,0
operator,18,0,189.5,unknown,historian,2.1,428.7,0.74,1
auditor,11,3,20.7,compliant,historian,1.7,305.6,0.38,0
engineer,17,2,127.8,compliant,historian,2.81,153.1,0.34,0
engineer,8,4,11.9,unknown,bulk_export,9.88,877.6,0.57,1
auditor,12,3,21.7,compliant,historian,4.6,130.5,0.06,0
auditor,10,1,41.3,compliant,config,1.69,226.8,0.02,0
operator,18,1,16.7,compliant,config,1.44,102.4,0.45,0
engineer,10,6,88.3,compliant,bulk_export,1.17,605.7,0.01,0
auditor,17,4,25.1,compliant,config,1.34,201.1,0.35,0
auditor,10,4,11.7,compliant,HMI,0.88,34.7,0.03,0
engineer,15,0,93.0,compliant,HMI,5.02,108.3,0.09,0
operator,5,4,31.9,compliant,config,6.02,156.8,0.6,1
auditor,14,0,29.8,compliant,historian,0.69,132.3,0.4,0
engineer,13,4,532.2,unknown,historian,4.34,113.2,0.59,1
auditor,15,4,56.9,unknown,HMI,1.74,108.6,0.1,0
auditor,17,0,9.7,compliant,config,1.39,246.1,0.34,1
operator,14,4,5.9,compliant,historian,4.27,109.7,0.08,0
auditor,14,0,84.1,unknown,bulk_export,14.95,415.5,0.71,1
engineer,8,0,70.6,compliant,historian,5.02,354.0,0.36,0
auditor,10,4,28.4,compliant,historian,2.57,261.8,0.32,0
operator,8,4,15.0,compliant,config,2.09,136.7,0.16,0
operator,14,1,30.6,compliant,HMI,4.09,55.6,0.44,0
engineer,13,0,107.7,compliant,HMI,6.31,30.9,0.37,1
engineer,11,3,15.8,unknown,bulk_export,4.04,434.0,0.43,0
operator,11,6,14.5,compliant,PLC,3.3,98.3,0.42,0
operator,10,1,12.5,compliant,HMI,3.23,71.9,0.24,0
operator,15,4,13.9,compliant,PLC,2.45,67.1,0.3,0
auditor,15,0,29.8,compliant,PLC,3.89,150.6,0.44,0
auditor,13,0,31.6,compliant,HMI,2.73,61.6,0.02,0
auditor,20,1,42.7,compliant,historian,9.64,173.4,0.78,1
operator,9,0,17.8,compliant,historian,2.96,163.0,0.2,0
engineer,12,2,47.2,compliant,PLC,1.89,132.6,0.4,0
auditor,9,4,8.7,compliant,bulk_export,1.07,644.0,0.24,0
operator,7,4,300.3,unknown,historian,6.95,147.3,0.83,1
engineer,17,5,31.5,unknown,PLC,4.31,73.1,0.01,1
engineer,16,1,125.3,compliant,historian,2.75,394.3,0.23,1
auditor,11,3,15.7,compliant,bulk_export,4.69,418.3,0.42,0
operator,7,2,16.4,compliant,HMI,2.82,92.6,0.17,0
auditor,11,1,27.6,compliant,bulk_export,1.0,592.1,0.23,0
auditor,15,0,22.9,compliant,bulk_export,3.98,202.4,0.25,1
engineer,10,5,16.5,compliant,historian,6.16,298.6,0.28,0
auditor,13,6,6.7,compliant,historian,1.74,204.0,0.27,0
operator,17,2,27.4,compliant,bulk_export,6.61,832.5,0.52,1
engineer,15,1,1.5,unknown,HMI,1.34,56.0,0.29,0
engineer,20,4,45.4,compliant,HMI,1.69,96.4,0.28,0
auditor,9,4,50.8,compliant,config,2.5,61.8,0.35,0
engineer,11,4,59.0,compliant,historian,0.66,411.8,0.21,0
auditor,15,1,3.7,compliant,bulk_export,3.17,412.4,0.07,0
auditor,15,1,42.9,unknown,HMI,2.7,88.7,0.3,1
auditor,10,1,19.4,compliant,historian,4.48,67.4,0.26,1
engineer,15,4,32.2,compliant,historian,3.17,141.4,0.1,1
auditor,10,4,37.7,compliant,historian,6.22,210.7,0.43,0
operator,13,6,36.2,compliant,HMI,4.71,80.1,0.29,1
operator,17,2,19.4,compliant,historian,5.0,310.8,0.3,0
operator,8,2,27.4,compliant,HMI,1.96,104.7,0.04,0
operator,10,4,19.4,unknown,historian,5.94,335.9,0.18,0
engineer,12,0,38.6,compliant,historian,3.91,134.6,0.01,0
auditor,14,1,23.1,compliant,PLC,3.13,191.6,0.1,0
operator,10,2,18.5,unknown,historian,1.24,138.8,0.28,0
operator,8,3,21.8,compliant,historian,4.92,60.9,0.06,0
auditor,9,3,10.6,compliant,config,1.38,76.7,0.05,1
auditor,21,0,24.0,compliant,historian,2.48,203.2,0.37,0
auditor,11,0,33.7,compliant,bulk_export,4.45,377.1,0.1,1
engineer,9,1,15.8,unknown,PLC,1.7,114.7,0.07,0
engineer,11,0,16.7,compliant,PLC,5.75,67.8,0.41,0
engineer,16,2,121.3,compliant,HMI,2.3,25.9,0.12,0
operator,13,0,13.1,compliant,PLC,3.02,121.9,0.22,0
operator,6,2,2.2,compliant,PLC,3.71,57.9,0.33,0
auditor,14,1,51.8,unknown,bulk_export,14.94,1320.5,0.88,1
engineer,10,5,62.9,compliant,PLC,1.19,32.3,0.17,0
operator,11,3,43.0,unknown,bulk_export,4.64,287.6,0.36,0
engineer,5,4,54.2,compliant,PLC,4.03,30.7,0.7,1
auditor,11,4,6.5,compliant,bulk_export,2.46,486.2,0.21,0
operator,7,3,32.6,compliant,HMI,3.84,48.9,0.22,0
operator,14,2,11.7,unknown,historian,1.53,328.1,0.35,0
operator,5,4,53.7,compliant,historian,5.3,380.7,0.69,1
operator,9,2,33.3,compliant,HMI,2.1,121.6,0.22,0
operator,7,6,17.7,compliant,historian,4.31,373.1,0.4,0
operator,11,0,26.3,compliant,HMI,4.24,41.9,0.33,0
operator,14,3,5.1,compliant,bulk_export,3.53,257.1,0.08,0
auditor,14,1,41.3,compliant,bulk_export,0.98,488.1,0.06,0
operator,8,3,2.6,unknown,bulk_export,21.93,1215.2,0.65,1
auditor,11,3,14.5,compliant,historian,1.27,87.3,0.28,0
auditor,11,0,97.4,compliant,bulk_export,15.53,915.7,0.84,1
operator,7,0,37.2,compliant,HMI,3.89,31.5,0.04,0
engineer,17,2,131.2,compliant,HMI,1.02,94.5,0.14,0
engineer,10,4,30.9,compliant,HMI,6.44,79.0,0.1,0
operator,13,1,25.3,compliant,historian,1.43,384.7,0.15,0
engineer,11,0,26.4,unknown,HMI,6.11,49.4,0.29,0
engineer,6,3,28.5,compliant,PLC,3.57,148.4,0.04,0
engineer,13,4,124.3,compliant,HMI,5.2,20.5,0.28,0
operator,13,0,252.7,unknown,historian,3.39,244.4,0.59,1
engineer,16,5,154.3,compliant,HMI,3.58,21.1,0.39,0
auditor,16,0,24.5,compliant,bulk_export,13.72,871.2,0.82,1
engineer,21,0,52.4,compliant,HMI,4.13,106.5,0.24,0
auditor,15,4,41.3,compliant,bulk_export,4.99,201.7,0.23,0
auditor,13,0,46.4,compliant,historian,2.3,66.1,0.41,0
auditor,2,1,39.5,compliant,PLC,4.11,88.3,0.31,0
auditor,11,2,13.4,compliant,config,1.84,93.6,0.1,0
operator,10,3,5.7,compliant,historian,3.06,146.2,0.32,0
auditor,17,4,43.9,compliant,historian,0.55,347.8,0.34,0
operator,18,0,306.2,unknown,config,4.97,139.6,0.56,1
engineer,15,0,109.5,compliant,HMI,5.05,80.1,0.15,0
engineer,13,4,128.6,unknown,HMI,1.18,79.5,0.44,1
engineer,13,2,45.9,compliant,bulk_export,1.02,646.3,0.23,0
operator,6,2,20.2,compliant,PLC,5.61,87.7,0.13,0
operator,9,4,8.7,compliant,PLC,4.29,55.1,0.21,0
operator,8,4,25.6,unknown,bulk_export,14.9,789.0,0.52,1
operator,8,0,22.3,compliant,historian,3.85,234.9,0.4,0
auditor,15,0,26.3,unknown,PLC,5.18,62.0,0.36,0
auditor,14,4,27.7,compliant,config,4.73,185.8,0.2,0
auditor,16,1,0.4,compliant,PLC,2.44,31.8,0.25,0
auditor,13,1,0.3,compliant,HMI,1.05,28.6,0.07,0
engineer,22,1,87.6,compliant,historian,4.35,168.9,0.29,0
auditor,17,0,41.5,compliant,HMI,1.41,50.2,0.19,0
engineer,13,6,90.3,compliant,bulk_export,4.51,739.6,0.0,0
engineer,16,2,129.1,compliant,HMI,4.71,23.4,0.03,0
engineer,15,1,0.4,compliant,HMI,3.17,48.5,0.24,1
auditor,14,4,14.7,unknown,config,5.05,101.8,0.27,1
operator,6,1,38.8,compliant,historian,1.26,224.1,0.18,0
operator,19,2,37.0,compliant,bulk_export,6.68,507.2,0.61,1
operator,10,4,457.3,compliant,historian,5.15,101.8,0.63,0
engineer,19,6,8.0,compliant,historian,9.73,339.1,0.83,1
engineer,6,1,11.8,compliant,HMI,5.53,90.5,0.2,0
engineer,13,2,137.7,unknown,historian,2.3,67.8,0.34,0
operator,7,0,0.7,compliant,HMI,3.98,83.4,0.36,0
engineer,19,5,1.5,compliant,bulk_export,7.66,488.9,0.56,1
auditor,11,0,24.7,unknown,historian,2.6,274.2,0.25,1
operator,13,2,7.2,compliant,PLC,1.53,136.9,0.2,0
auditor,13,4,4.6,compliant,bulk_export,1.19,279.1,0.19,0
engineer,10,2,364.1,unknown,historian,6.5,390.1,0.69,1
engineer,10,3,144.1,compliant,historian,0.72,197.7,0.21,0
auditor,15,1,1.5,unknown,config,4.7,143.9,0.32,0
auditor,14,1,60.2,compliant,HMI,2.05,84.8,0.08,0
engineer,15,4,56.2,compliant,PLC,3.44,107.9,0.31,0
operator,10,6,36.3,compliant,historian,0.76,170.8,0.1,0
auditor,15,2,14.8,compliant,bulk_export,4.09,288.5,0.12,0
auditor,16,0,50.0,compliant,config,3.28,310.2,0.14,0
operator,12,2,24.4,compliant,HMI,5.01,45.6,0.19,0
auditor,14,0,14.6,compliant,bulk_export,4.19,383.5,0.1,0
engineer,11,2,132.5,compliant,historian,3.72,301.3,0.07,0
engineer,9,0,326.5,compliant,PLC,7.44,45.4,0.39,1
auditor,12,2,8.2,compliant,bulk_export,5.82,631.2,0.16,0
engineer,14,4,143.5,compliant,config,3.17,233.4,0.03,1
operator,21,1,33.1,compliant,config,7.52,175.7,0.41,0
auditor,13,3,30.2,compliant,bulk_export,4.04,229.6,0.14,0
operator,6,0,13.1,compliant,historian,6.64,118.9,0.4,0
engineer,15,2,27.9,compliant,config,0.44,186.0,0.38,0
operator,6,3,39.2,compliant,historian,2.97,132.9,0.17,0
operator,5,1,26.9,compliant,PLC,6.18,37.6,0.05,1
engineer,8,4,46.6,compliant,bulk_export,7.29,888.7,0.56,1
operator,10,1,13.2,compliant,HMI,3.54,113.3,0.19,0
engineer,13,2,37.1,compliant,config,3.64,199.9,0.25,0
engineer,11,4,151.3,unknown,HMI,3.53,51.5,0.35,0
operator,11,1,21.2,compliant,historian,5.48,143.7,0.01,0
engineer,8,2,90.9,compliant,historian,2.37,145.8,0.02,0
operator,0,3,9.6,compliant,config,4.22,141.3,0.37,0
auditor,14,4,48.0,unknown,bulk_export,13.02,1519.1,0.58,1
auditor,15,0,1.9,compliant,bulk_export,3.42,320.2,0.35,0
operator,17,4,321.2,unknown,historian,5.94,433.6,0.51,1
operator,9,4,38.6,compliant,HMI,3.07,60.2,0.01,0
operator,9,2,43.9,compliant,historian,0.68,338.4,0.4,0
operator,18,0,63.6,unknown,bulk_export,8.86,1160.1,0.66,1
operator,4,3,42.1,compliant,HMI,1.91,22.6,0.73,1
auditor,16,1,50.5,compliant,config,4.6,72.2,0.09,0
engineer,13,0,159.3,compliant,historian,5.1,282.9,0.37,0
engineer,12,0,48.3,compliant,historian,3.58,329.5,0.15,0
auditor,15,1,20.7,compliant,config,0.69,207.5,0.16,0
operator,12,3,41.9,compliant,historian,5.78,69.6,0.11,0
engineer,13,4,77.0,compliant,bulk_export,1.09,333.6,0.34,0
auditor,15,0,3.6,compliant,config,3.1,246.7,0.29,0
operator,9,2,3.2,compliant,PLC,1.95,61.4,0.24,0
operator,13,4,31.7,compliant,PLC,2.55,125.7,0.07,0
operator,14,0,31.3,compliant,config,4.59,125.7,0.3,0
auditor,17,5,45.2,compliant,HMI,3.75,38.2,0.03,0
operator,11,3,16.9,compliant,HMI,4.76,34.3,0.44,0
auditor,23,3,41.8,compliant,bulk_export,3.81,656.7,0.0,0
operator,18,2,1.5,unknown,HMI,5.53,92.8,0.17,0
engineer,11,0,124.6,compliant,historian,5.26,334.1,0.22,0
auditor,11,1,18.7,compliant,config,3.34,233.5,0.31,0
auditor,17,0,16.5,compliant,historian,3.86,105.3,0.39,0
auditor,14,2,44.8,unknown,bulk_export,4.98,704.6,0.72,1
auditor,14,4,37.1,compliant,historian,4.12,303.9,0.19,0
operator,11,1,635.1,compliant,PLC,2.4,71.4,0.53,1
engineer,7,2,132.3,unknown,historian,3.82,379.8,0.03,0
engineer,16,0,42.5,compliant,HMI,1.99,79.2,0.06,0
auditor,11,3,25.5,compliant,bulk_export,1.82,365.5,0.31,0
operator,10,2,7.5,compliant,historian,6.45,310.3,0.07,0
operator,7,3,38.0,unknown,PLC,5.16,130.6,0.11,0
engineer,4,0,14.6,compliant,config,1.4,261.0,0.04,0
auditor,12,0,41.1,compliant,bulk_export,6.03,449.2,0.3,0
operator,17,4,19.7,unknown,PLC,4.12,142.0,0.04,0
auditor,17,0,46.1,compliant,config,1.1,87.1,0.12,0
auditor,10,0,23.8,compliant,HMI,4.44,35.3,0.37,0
operator,10,3,6.8,unknown,HMI,1.37,43.9,0.09,0
auditor,17,4,11.6,compliant,historian,2.63,178.6,0.15,0
engineer,16,4,517.1,unknown,config,5.41,112.2,0.61,1
auditor,15,1,5.4,compliant,HMI,1.77,38.1,0.25,0
operator,10,1,54.2,unknown,bulk_export,18.59,876.5,0.59,1
engineer,7,1,49.1,unknown,HMI,7.31,91.7,0.73,1
auditor,14,1,60.1,compliant,config,5.13,93.9,0.07,0
operator,14,0,18.3,unknown,historian,1.61,143.9,0.42,0
engineer,14,4,69.0,compliant,PLC,1.81,156.5,0.43,0
auditor,16,1,18.2,unknown,bulk_export,6.95,504.7,0.94,1
engineer,14,1,37.8,unknown,bulk_export,7.95,1089.6,0.96,1
auditor,15,4,155.9,compliant,config,7.58,186.4,0.58,1
operator,13,1,310.2,compliant,config,2.59,204.5,0.41,1
engineer,16,3,36.1,compliant,PLC,3.01,143.8,0.24,0
operator,17,0,35.2,compliant,historian,4.68,403.1,0.3,0
auditor,3,1,7.4,compliant,historian,0.53,220.3,0.22,0
engineer,17,3,25.5,compliant,bulk_export,18.05,1110.6,0.69,1
engineer,6,5,9.3,unknown,bulk_export,7.68,588.9,0.69,1
auditor,12,3,39.9,compliant,PLC,2.02,78.0,0.39,1
operator,9,2,0.1,compliant,PLC,1.02,119.9,0.18,0
auditor,15,0,5.5,compliant,bulk_export,4.78,297.1,0.11,0
engineer,16,4,101.1,compliant,PLC,2.09,34.0,0.07,0
engineer,15,3,6.9,compliant,bulk_export,13.95,1309.6,0.77,1
engineer,14,4,366.9,unknown,historian,2.84,326.1,0.71,1
engineer,11,4,58.2,compliant,PLC,3.31,57.6,0.42,0
engineer,10,2,112.8,compliant,HMI,5.57,118.1,0.09,1
operator,11,3,23.6,unknown,historian,4.31,178.6,0.2,0
auditor,11,1,43.9,compliant,HMI,4.59,109.2,0.17,0
auditor,13,3,45.1,compliant,bulk_export,4.51,383.9,0.18,0
operator,7,2,27.0,compliant,PLC,2.61,36.6,0.27,0
auditor,5,2,63.6,compliant,historian,2.44,357.1,0.18,0
operator,21,6,34.7,compliant,historian,6.28,344.9,0.07,0
engineer,15,6,49.2,compliant,PLC,0.98,67.2,0.3,0
auditor,16,3,57.8,compliant,historian,1.86,185.5,0.33,0
engineer,14,6,115.5,compliant,historian,1.4,73.5,0.31,0
auditor,20,1,19.8,compliant,config,5.5,116.5,0.57,1
operator,18,4,11.6,compliant,HMI,4.37,34.3,0.17,0
operator,12,4,13.6,compliant,historian,1.52,173.0,0.02,0
auditor,10,1,21.9,compliant,bulk_export,18.26,1096.8,0.57,0
auditor,16,4,35.1,compliant,historian,0.74,303.2,0.16,0
auditor,11,6,0.2,compliant,bulk_export,3.54,495.2,0.1,0
auditor,11,1,39.0,unknown,config,3.48,128.3,0.44,0
operator,12,6,19.1,compliant,config,4.09,87.0,0.41,1
engineer,9,0,32.0,compliant,historian,0.99,264.9,0.17,0
operator,6,4,309.9,compliant,PLC,1.53,61.9,0.39,1
auditor,13,0,45.2,compliant,HMI,3.56,106.7,0.22,0
auditor,16,0,41.2,unknown,historian,4.71,313.6,0.4,0
auditor,7,3,30.8,unknown,historian,6.59,75.9,0.79,1
auditor,11,3,2.5,compliant,config,4.15,228.3,0.11,1
operator,8,6,8.1,compliant,historian,2.97,349.8,0.19,1
engineer,8,2,109.3,compliant,bulk_export,6.36,513.6,0.27,0
auditor,7,3,56.8,unknown,bulk_export,4.28,226.2,0.74,1
operator,21,2,28.9,compliant,PLC,4.69,40.1,0.18,1
auditor,15,1,47.3,compliant,config,5.47,247.8,0.41,0
engineer,13,3,113.1,compliant,historian,1.85,359.1,0.02,0
operator,14,4,22.0,compliant,historian,4.82,178.3,0.14,0
operator,15,2,23.7,compliant,historian,5.67,115.0,0.23,0
engineer,16,3,66.2,compliant,historian,3.95,144.1,0.21,0
auditor,15,0,15.7,compliant,PLC,1.92,83.3,0.38,1
engineer,18,0,1.9,unknown,historian,6.54,69.5,0.41,1
operator,8,2,129.8,compliant,config,2.55,324.0,0.89,1
engineer,15,0,116.7,compliant,bulk_export,5.09,545.1,0.28,0
auditor,15,5,16.0,compliant,historian,2.78,134.4,0.39,0
engineer,10,4,58.1,compliant,bulk_export,16.15,1597.5,0.96,1
engineer,10,2,109.9,compliant,PLC,3.98,41.7,0.15,0
auditor,10,1,460.2,compliant,historian,4.5,308.2,0.8,1
engineer,16,0,8.7,compliant,PLC,0.8,45.8,0.33,0
engineer,13,0,155.3,unknown,config,5.19,307.1,0.36,1
auditor,12,4,22.7,compliant,config,5.13,298.0,0.11,0
auditor,17,1,31.9,compliant,config,1.27,229.8,0.32,0
auditor,17,0,40.6,unknown,config,2.7,225.4,0.17,1
operator,21,1,26.4,compliant,PLC,0.6,96.2,0.3,0
auditor,16,1,55.0,compliant,config,5.04,106.7,0.19,0
auditor,15,1,40.1,compliant,historian,2.81,282.9,0.18,0
engineer,15,4,28.9,compliant,historian,3.73,373.1,0.44,0
auditor,12,5,31.6,compliant,bulk_export,5.95,560.1,0.0,0
engineer,10,5,31.9,compliant,historian,2.5,406.0,0.19,0
operator,8,3,21.7,unknown,historian,1.16,290.6,0.01,0
engineer,9,3,96.0,compliant,historian,3.51,283.0,0.08,0
engineer,15,0,53.5,compliant,historian,0.9,180.8,0.08,0
auditor,13,1,40.2,compliant,config,2.43,189.1,0.08,0
operator,15,1,11.4,compliant,HMI,1.95,121.2,0.31,0
engineer,12,4,24.6,compliant,historian,1.7,233.3,0.08,0
operator,9,2,46.8,compliant,bulk_export,11.08,962.7,0.76,1
auditor,13,2,52.6,compliant,HMI,2.93,92.2,0.45,0
engineer,20,2,132.1,unknown,HMI,3.66,103.4,0.43,0
operator,8,5,28.1,compliant,PLC,0.76,173.8,0.21,0
operator,16,1,13.2,compliant,PLC,6.56,151.1,0.3,0
operator,15,3,396.7,compliant,historian,2.26,287.1,0.71,1
auditor,12,0,63.7,unknown,bulk_export,2.26,299.5,0.02,0
auditor,23,0,38.9,compliant,bulk_export,4.47,253.2,0.28,0
engineer,0,4,113.6,compliant,historian,4.66,222.3,0.34,0
operator,14,2,5.6,compliant,HMI,5.5,59.1,0.06,0
operator,17,3,2.2,unknown,bulk_export,16.51,1012.8,0.92,1
engineer,17,3,128.2,unknown,historian,1.11,77.6,0.05,0
auditor,14,4,14.9,compliant,HMI,6.29,24.9,0.07,0
engineer,9,1,14.4,compliant,PLC,2.03,47.8,0.41,0
engineer,15,3,47.2,unknown,HMI,4.01,52.7,0.26,0
engineer,15,2,118.6,compliant,historian,1.84,372.4,0.15,0
engineer,14,2,107.4,compliant,HMI,2.18,74.4,0.33,0
auditor,15,2,44.9,compliant,bulk_export,0.89,526.4,0.09,0
auditor,14,1,50.8,compliant,historian,6.72,72.3,0.32,0
auditor,10,4,29.3,compliant,bulk_export,0.92,182.1,0.22,0
engineer,14,4,67.3,compliant,PLC,3.29,72.5,0.32,0
auditor,15,0,20.6,compliant,config,2.15,244.4,0.11,0
operator,2,3,7.4,compliant,HMI,4.02,35.5,0.12,0
operator,4,4,24.7,compliant,historian,2.99,86.5,0.3,0
engineer,17,0,17.8,compliant,historian,4.33,180.2,0.17,0
engineer,10,3,181.5,unknown,config,1.38,144.9,0.73,1
auditor,13,0,59.9,compliant,bulk_export,6.0,544.1,0.25,0
operator,16,3,551.2,unknown,historian,3.14,366.6,0.53,1
engineer,5,3,22.0,compliant,historian,7.45,205.0,0.61,1
auditor,12,2,38.5,compliant,config,3.6,224.6,0.42,0
engineer,17,5,83.3,compliant,config,0.82,165.0,0.43,0
operator,14,6,27.4,unknown,PLC,3.17,53.0,0.05,0
